date,quantitative_only_gross,quantitative_only_net,equal_weight_gross,equal_weight_net,benchmark
2024-10-07,185441.69257839507,182167.18489232636,187929.41383318047,187412.14226806507,153917.28727969681
2024-10-08,188205.86113249455,184882.54408187498,190335.0287293073,189811.1357622676,155408.64536172713
2024-10-09,189326.04929447442,185982.95209250244,190965.63331057449,190440.00461833848,156514.13108260254
2024-10-10,188282.55372763294,184957.8824481517,190645.43756024784,190120.69019974984,156190.12760506725
2024-10-11,188715.7715930435,185383.45060323927,191572.11004137757,191044.8120353213,157135.36645207615
2024-10-14,190147.61796939606,186790.01360399573,192611.21162808486,192081.0535178378,158346.51351226182
2024-10-15,190365.26130451023,187003.81381859185,192864.90696861604,192334.05056754168,157141.58104883129
2024-10-16,188355.58459870802,185029.62374865974,191414.87737954213,190888.01215291835,157876.86944240553
2024-10-17,188512.38894934213,185183.65926643743,191153.5055163172,190627.35970998008,157849.8471618227
2024-10-18,189486.8435069927,186140.9070196505,192138.45378003042,191609.59692532927,158476.75615466086
2024-10-21,189842.18479286117,186489.97373071554,192518.06679896123,191988.16506780122,158187.88955856705
2024-10-22,191462.94702135434,188082.11672962393,194037.0682121239,193502.98546308928,158112.77342411483
2024-10-23,187352.47313006423,184044.225104831,190120.17123734884,189596.86966081517,156659.50778546472
2024-10-24,187838.5788483316,184521.7472252646,190707.03978086202,190182.12286161093,156995.66337257854
